"p1"	"upper"
YELLOW LOCUST WHOLE	STERCULIA URENS
EDIBLE FIG WHOLE	ROSA DAMASCENA
CARDAMOMUM AROMATICUM WHOLE	RHYNCHOSTYLIS RETUSA
COMMON MATRIMONYVINE WHOLE	BACOPA MONNIERI
CAPSELLA ALANDICA WHOLE	MEUM ATHAMANTICUM
FOREST BITTERBERRY WHOLE	CEDRUS LIBANI
DIOSCOREA VILLOSA WHOLE	SPHYRNA LEWINI
DEVIL'S CLUB WHOLE	AFROLICANIA ELAEOSPERMA
LYCIUM FLORIDUM WHOLE	ERYTHRINA CRISTA-GALLI
KOREAN RED GINSENG	URENA LOBATA
ASTRAGALUS MONSPESSULANUS WHOLE	PASSIFLORA EDULIS
EUGENIA HARTII WHOLE	ALOE VERA
JAPANESE HOLLY WHOLE	KNAUTIA ARVENSIS
ARTOCARPUS ALTILIS (PARKINSON EX F.A.ZORN) FOSBERG	SPERMACOCE VERTICILLATA
SCHIZONEPETA TENUIFOLIA WHOLE	LENS CULINARIS
ROSA SEPARABILIS WHOLE	PSEUDOGNAPHALIUM STRAMINEUM
EPIMEDIUM PUBESCENS	CENTROSEMA VIRGINIANUM
SENNA OCCIDENTALIS WHOLE	PSEUDARTHRIA HOOKERI
PHILODENDRON PUNCTATUM WHOLE	ROSA CANINA
TEPHROSIA VIRGINIANA	COLA NITIDA
PARIETARIA JAXARTICA WHOLE	NIU BANG ZI
MARRUBIUM VULGARE	HEMP EXTRACT
OXALIS ACETOSELLA L.	GARCINIA
TVAK	RHYNCHOSTYLIS RETUSA
FUMARIA CIRRHATA WHOLE	OXALIS ACETOSELLA
COMMON COMFREY WHOLE	TURMERIC
TRIBULUS	ZIZANIA AQUATICA
CELTIS LAEVIGATA WHOLE	ULMUS MINOR
SCABIOSA CAMPESTRIS WHOLE	TYPHA LATIFOLIA
RUBUS CORDIALIS WHOLE	DRIMA MARITIMA
VALERIANA ALBA WHOLE	MEUM ATHAMANTICUM
ORIGANUM SALVIFOLIUM WHOLE	PETROSELINUM CRISPUM
BUR MEDICK WHOLE	LYCOPUS AMERICANUS
MAGNOLIA OBTUSIFOLIA WHOLE	MONESES UNIFLORA
CAPPARIS OVATA WHOLE	PIRIQUETA RACEMOSA
CRUCIFERA FONTANA WHOLE	ALLIUM CEPA
ROSMARINUS ANGUSTIFOLIUS WHOLE	BLUMEA LACERA
CENTAURIUM UMBELLATUM WHOLE	MIRABILIS JALAPA
RANUNCULASTRUM NEMORIVAGUM WHOLE	CURCUMA ZEDOARIA
URENA DIVERSIFOLIA WHOLE	BARLEY GRASS
STACHYS CINCINNATENSIS WHOLE	PAPAVER RHOEAS
SWEET ELDER WHOLE	PIPER NIGRUM
PERSIMON VIRGINIANA WHOLE	ALOCASIA MACRORRHIZOS
BORRERIA MOLLERI WHOLE	PRUNUS SPINOSA
MITESIA PUNCTATA WHOLE	CARTHAMUS LANATUS
COMMELINA BENGHALENSIS L.	BIXA ORELLANA
NYMPHAEA ODORATA AITON	CASTANEA PUMILA
COMMELINA ACUMINATA WHOLE	ERYTHRINA ABYSSINICA
LONGLEAF PINE WHOLE	LIRIODENDRON TULIPIFERA
WATER LETTUCE WHOLE	MALVA SYLVESTRIS
ASTRAGALUS MACEDONICUS WHOLE	ALOE VERA
OCIMUM TENUIFLORUM WHOLE	NEUROLAENA LOBATA
CORNUS FLORIDA L.	LYCOPUS AMERICANUS
ULMUS FLORIDANA WHOLE	BERBERIS VULGARIS
VACCINIUM PALLIDUM WHOLE	JATROPHA CURCAS
HEDEOMA INCANA WHOLE	TORMINALIS GLABERRIMA
ABIES MINIATA WHOLE	CLINOPODIUM POLYCEPHALUM
MALVA SYLVESTRIS WHOLE	MITRACARPUS HIRTUS
SICILIAN SUMAC WHOLE	CYPERUS ROTUNDUS
ALLEGHENY CHINKAPIN WHOLE	DIPLOTAXIS ERUCOIDES
SMILAX BINCHUANENSIS [WHO-DD]	ERYTHRINA HERBACEA
RED GINSENG	SALIX NIGRA
FAGUS NANA WHOLE	OXYRIA DIGYNA
MEDICA APICULATA WHOLE	SATUREJA MONTANA
AGELAEA ZENKERI WHOLE	ECBALLIUM ELATERIUM
RENEALMIA USNEOIDES WHOLE	BRASSICA BRASSICA OLERACEA
CALIFORNIA BLACKBERRY WHOLE	AMOMUM AROMATICUM
VIOLA THESIIFOLIA WHOLE	RUBUS PARVIFOLIUS
PARONYCHIA ARGENTEA WHOLE	GRINDELIA CILIATA
DICHORISANDRA OVATA WHOLE	HORNY GOAT WEED
AGELAEA DUCHESNEI WHOLE	VERONICA CHAMAEDRYS
LESSER PURPLE FRINGED ORCHID WHOLE	ERYTHRINA HERBACEA
GALLITRICHUM ANGLICUM WHOLE	QUERCUS VIRGINIANA
SMILAX FARINOSA WHOLE	HORNY GOAT WEED
CRUCIFERA CARDARIA WHOLE	ERUCA VESICARIA
BUPLEURUM CHINENSE WHOLE PLANT [WHO-DD]	RUBUS RIGIDUS
ALOYSIA CITRODORA PALAU	ANEMONE HEPATICA
ELEUTHEROCOCCUS SENTICOSUS [WHO-DD]	MERTESIA VIRGINICA
APIUM LAETUM WHOLE	BRASSICA RAPA
POLYGALA AMARA [WHO-DD]	PLANTAGO MAJOR
GALLITRICHUM STEREOCAULON WHOLE	CLARKIA PURPUREA
QUERCUS PRASINA WHOLE	BIDENS PILOSA
SPHYRNA LEWINI (GRIFFITH AND SMITH, 1834)	FOMES FOMENTARIUS
LIBANOTIS MAJOR WHOLE	QUERCUS GAMBELII
MIKANIA MOLINENSIS WHOLE	TYPHA DOMINGENSIS
CHAVICA SARMENTOSA WHOLE	MAGNOLIA OFFICINALIS
CURCUMA MALABARICA WHOLE	PAPAVER SOMNIFERUM
DIPSACUS SYLVESTRIS HUDS.	NERIUM OLEANDER
ARTEMISIA ARGENTEA WHOLE	PETROSELINUM CRISPUM
OXALIS MONTANA WHOLE	PLATANUS OCCIDENTALIS
QUERCUS ALBA WHOLE	TABERNAEMONTANA DIVARICATA
VICIA HIRSUTISSIMA WHOLE	CAPSELLA BURSA-PASTORIS
MATRICARIA RECUTITA	ARTEMISIA ABSINTHIUM
CHAMOMILLA CHAMOMILLA WHOLE	BAUHINIA DIVARICATA
APIUM GRAVEOLENS L.	SAPOSHNIKOVIA DIVARICATA
FOENICULUM CAPILLACEUM WHOLE	AESCULUS PAVIA
PRAIRIE FLEABANE WHOLE	CENTAUREA BENEDICTA
APIUM GRAVEOLENS WHOLE	LINARIA VULGARIS
RUSCUS ACULEATUS	COLA NITIDA
RIVINA HUMILIS WHOLE	BACTRIS MAJOR
XANTHIUM STRUMARIUM WHOLE	HYPERICUM HYPERICOIDES
LYCOPUS INTEGRIFOLIUS WHOLE	PANAX GINSENG
TRIFOLIUM NIVALE WHOLE	COMBRETUM MOLLE
PERSICARIA PUSILLA WHOLE	BRASSICA JUNCEA
LYCHNIS SAPONARIA WHOLE	RICINUS COMMUNIS
WU LA GAN CAO WHOLE	SENNA
CORALBERRY TREE WHOLE	RANUNCULUS ACRIS
ALLOSORUS CAPENSIS WHOLE	TARAXACUM OFFICINALE
AMERICAN DEWBERRY WHOLE	PLECTRANTHUS AMBOINICUS
BOLETUS SOLIDUS WHOLE	HARUNGANA MADAGASCARIENSIS
SPERGULASTRUM LANUGINOSUM WHOLE	PRUNUS SPINOSA
DIPSACUS BOTTERI WHOLE	PTELEA TRIFOLIATA
PISTIA SCHLEIDENIANA WHOLE	VIBURNUM OPULUS
GRATIOLA PORTULACACEA WHOLE	ARUNDO DONAX
PAVIA ATROPURPUREA WHOLE	FILIPENDULA ULMARIA
BLUE PERIWINKLE WHOLE	SAMBUCUS CANADENSIS
ESCHSCHOLZIA GIGAS WHOLE	JATROPHA CURCAS
ORIGANUM COMPACTUM BENTH.	DIOSCOREA VILLOSA
COPTIS CHINENSIS WHOLE	BAUHINIA DIVARICATA
AMORPHA CAROLINIANA WHOLE	BERBERIS VULGARIS
TEXAS SANDBUR WHOLE	SABAL MINOR
ZANTHOXYLUM SIMULANS	SALVIA ROSMARINUS
SCHISANDRA CHINENSIS	INONOTUS OBLIQUUS
BORAGE [HOC]	LYCOPUS AMERICANUS
MAGNOLIA GRANDIFLORA	SPERMACOCE VERTICILLATA
PLUCHEA INDICA	CERATONIA SILIQUA
JUGLANS CYLINDRICA WHOLE	DAPHNE GNIDIUM
MAGNOLIA ELLIPTICA WHOLE	HYGROPHILA COSTATA
UNCARIA TOMENTOSA [WHO-DD]	GALIUM UNIFLORUM
QUASSIA AMARA [WHO-DD]	VERBASCUM THAPSUS
ULMUS TETRANDRA WHOLE	TRIBULUS TERRESTRIS
SOLANUM WILDEMANII WHOLE	PONTEDERIA CORDATA
DIOSCOREA PRUINOSA WHOLE	PINUS MUGO
DIOSCOREA ODORATISSIMA WHOLE	TILIA AMERICANA
RIVER WHALER SHARK WHOLE	CALLICARPA AMERICANA
FLAMEVINE [HOC]	ALCEA ROSEA
COMMON SELFHEAL WHOLE	SALVIA VERBENACA
BRYOPHTHALMUM UNIFLORUM WHOLE	JUGLANS NIGRA
SIDA SCABRA WHOLE	AFRAMOMUM ANGUSTIFOLIUM
SESELI PIPERITUM WHOLE	VERONICA CHAMAEDRYS
FLORIDA PINE WHOLE	CAPSELLA BURSA-PASTORIS
COMMON GRAPE VINE WHOLE	MONESES UNIFLORA
INKBERRY WHOLE	BERBERIS AQUIFOLIUM
ASARUM CANADENSE WHOLE	CECROPIA PELTATA
GREAT MORINDA WHOLE	ASPARAGUS RACEMOSUS
ROCKETSALAD WHOLE	MANDRAGORA OFFICINARUM
KASSIYA OSTROLISTNAYA WHOLE	CYCLAMEN HEDERIFOLIUM
PISTACIA TEREBINTHUS L.	BAUHINIA DIVARICATA
RODSCHIEDIA BURSA-PASTORIS WHOLE	RICINUS COMMUNIS
CHAMAEPLIUM OFFICINALE WHOLE	CARCHARHINUS LEUCAS
AGELAEA PUNCTULATA WHOLE	FRAXINUS AMERICANA
RICINUS MACROPHYLLUS WHOLE	TORMINALIS GLABERRIMA
STERCULIA URENS [WHO-DD]	AGATHOSMA BETULINA
ROSA CANINA WHOLE	ALOCASIA MACRORRHIZOS
RUBUS CUNEIFOLIUS	PTELEA TRIFOLIATA
APIUM TUBEROSUM WHOLE	SONCHUS OLERACEUS
RED TASSEL-FLOWER WHOLE	CORDYCEPS MILITARIS
MACLURA PLUMIERA WHOLE	PINUS MUGO
ERYTHRINA LYSISTEMON HUTCH.	RAPHANUS RAPHANISTRUM
DRYOBALANOPS CAMPHORA WHOLE	COPTIS CHINENSIS
RICINUS VULGARIS WHOLE	SOLANUM CAROLINENSE
FABA VULGARIS WHOLE	AGELAEA PENTAGYNA
SALVIA SABULICOLA WHOLE	PSEUDOGNAPHALIUM OBTUSIFOLIUM
ERINUS AETHIOPICUS WHOLE	SANGUINARIA CANADENSIS
PRUNUS DASYCARPA WHOLE	GERANIUM MACULATUM
CAPRIFICUS SPHAEROCARPA WHOLE	VICIA SATIVA
SPANISH LICORICE WHOLE	VERBASCUM THAPSUS
TRIBULUS GUSSONEI WHOLE	CAPSELLA BURSA-PASTORIS
MEDICAGO GRACILLIMA WHOLE	VITIS VINIFERA
NIMBA WHOLE	SENNA
LIBANOTIS DAUCOIDES WHOLE	SAPONARIA OFFICINALIS
OCIMUM SCUTELLARIOIDES WHOLE	TILIA AMERICANA
ULMUS ROTUNDIFOLIA WHOLE	BRASSICA JUNCEA
SASSAFRAS [HOC]	CASTILLEJA MINIATA
LICANIA ELAEOSPERMA WHOLE	MONESES UNIFLORA
DAPHNE MAJOR WHOLE	ILEX CRENATA
MAERUA CRASSIFOLIA	MITRACARPUS HIRTUS
HOWARDIA FIMBRIATA WHOLE	CASTANEA MOLLISSIMA
SICHUAN-PEPPER WHOLE	FRAXINUS AMERICANA
JUGLANS REGIA (WALNUT) WHOLE	PEUMUS BOLDUS
TRIDERMIA PAPILLOSA WHOLE	AFRAMOMUM ANGUSTIFOLIUM
PISTIA BRASILIENSIS WHOLE	COMBRETUM MOLLE
CHIONANTHUS TRIFLORUS WHOLE	DIPLOTAXIS ERUCOIDES
BLUMEA COMMERSONII WHOLE	DIOSCOREA VILLOSA
DODONAEA TRIFOLIATA WHOLE	SPARTIUM JUNCEUM
ULMUS PLOTII WHOLE	ARENARIA LANUGINOSA
THLASPI BURSA-PASTORIS	MENTHA PULEGIUM
HYPOXYLON MILITARE WHOLE	ADIANTUM LATIFOLIUM
CORALBERRY TREE WHOLE	CAPSELLA BURSA-PASTORIS
GALEGA OFFICINALIS [HPUS]	FOMITOPSIS PINICOLA
ERYTHRINA TOMENTOSA WHOLE	EUCALYPTUS ODORATA
PISTIA BRASILIENSIS WHOLE	IPOMOEA PANDURATA
KO-SENDANGUSA WHOLE	TORMINALIS GLABERRIMA
RICINUS VULGARIS WHOLE	SCHINUS TEREBINTHIFOLIA
VICIA CANADENSIS WHOLE	CAPSELLA BURSA-PASTORIS
TYPHA REMOTIUSCULA WHOLE	CROTALARIA JUNCEA
ATRACTYLIS FUSUS-AGRESTIS WHOLE	DIANTHUS CARTHUSIANORUM
CARYA TETRAPTERA WHOLE	GLAUCIUM FLAVUM
FOENICULUM PIPERITUM WHOLE	BAUHINIA DIVARICATA
CUB SHARK WHOLE	CITRUS RETICULATA
CISTUS GARGANICUS WHOLE	ECHINACEA PURPUREA
SELINUM LEVISTICUM WHOLE	RHYNCHOSTYLIS RETUSA
CASSIA PLUMIERI WHOLE	VACCINIUM PALLIDUM
THUJA CALIFORNICA WHOLE	ULMUS RUBRA
ROSA LAUREL WHOLE	ESCHSCHOLZIA CALIFORNICA
TILIA FLORIDANA WHOLE	NYMPHAEA ODORATA
SAPOSHNIKOVIA DIVARICATA WHOLE	TRAMETES VERSICOLOR
DACTYLODES ANGULATUM WHOLE	COMMELINA BENGHALENSIS
FRANGULA NIGRA WHOLE	CROSSOPTERYX FEBRIFUGA
ERYTHRINA PLATYPHYLLA WHOLE	CORNUS OFFICINALIS
BRASSICA PE-TSAI WHOLE	ARENARIA LANUGINOSA
RUBUS RUBRISETUS WHOLE	LONICERA JAPONICA
TRICHOLAENA INSULARIS WHOLE	DIOSPYROS VIRGINIANA
CORAL ARDISIA WHOLE	SALIX BABYLONICA
IONIDIUM SUBGLAUCUM WHOLE	TEPHROSIA VIRGINIANA
FOENICULUM VULGARE	GYMNEMA SYLVESTRE
PAVIA HUMILIS WHOLE	SALVIA OFFICINALIS
BLUE SKULLCAP WHOLE	LEVISTICUM OFFICINALE
CALLUNA GENUINA WHOLE	BAUHINIA DIVARICATA
LITHRAEA CHICHITA WHOLE	DIPLOTAXIS TENUIFOLIA
SHORTLEAF PINE WHOLE	LINARIA VULGARIS
CITRULLUS LANATUS SUBSP. VULGARIS WHOLE	CAPSELLA BURSA-PASTORIS
SALVIA POGONOCALYX WHOLE	SAPONARIA OFFICINALIS
DIANTHUS CLAVATUS WHOLE	FERULA COMMUNIS
ANTELAEA AZADIRACHTA WHOLE	CYPERUS ROTUNDUS
ILLECEBRUM ARGENTEUM WHOLE	GOLDENSEAL
EUGENIA BIFLORA WHOLE	CENTAURIUM PULCHELLUM
DIAN KU CAI WHOLE	ATRACTYLODES MACROCEPHALA
PIPSISSEWA (CHIMAPHILA UMBELLATA) [HOC]	PANAX GINSENG
SWEET WILLIAM WHOLE	ALLIUM PORRUM
ERUCA DESERTI WHOLE	ALOYSIA TRIPHYLLA
LEPIDIUM MEYENII WALP.	NIPHIDIUM CRASSIFOLIUM
DIOSCOREA VILLOSA L.	AFROLICANIA ELAEOSPERMA
BAYBERRY (MORELLA CERIFERA) [HOC]	GYMNEMA SYLVESTRE
NUPHAR SPATHULIFERA WHOLE	CEPHALANTHUS OCCIDENTALIS
POLYGONUM PUNCTATUM WHOLE	NEPETA CATARIA
GARCINIA TRANSVAALENSIS WHOLE	PERSICARIA HYDROPIPEROIDES
PTERIS CORIIFOLIA WHOLE	EUGENIA BIFLORA
CORDYCEPS MILITARIS WHOLE	RHUS COPALLINUM
PLANTAGO JAPONICA WHOLE	ARDISIA CRENATA
LEPTALIX ALBA WHOLE	LYCOPUS AMERICANUS
GALIUM APARINE WHOLE	CENTRANTHUS RUBER
MATRICARIA SUAVEOLENS WHOLE	SOLANUM CAROLINENSE
MESPILUS MONOGYNA WHOLE	CARCHARHINUS LEUCAS
PINUS NIGRA WHOLE	DIGITARIA INSULARIS
LACHNANTHES CAROLINIANA [WHO-DD]	ACHILLEA MILLEFOLIUM
JASMINUM FRUTICOSUM WHOLE	HELICHRYSUM ARENARIUM
ASTRAGALUS KINDLII WHOLE	LINARIA VULGARIS
ERICA MULTIFLORA L.	DIPLOTAXIS ERUCOIDES
FLAX SEED	HALOXYLON AMMODENDRON
JUGLANS GLABRA WHOLE	MARRUBIUM VULGARE
CASSIA OBTUSATA WHOLE	MATRICARIA CHAMOMILLA
BORRAJA WHOLE	AGELAEA PENTAGYNA
RICINUS JAPONICUS WHOLE	CASTANEA DENTATA
MAJORANA SYRIACA WHOLE	BRASSICA RAPA
MANIHOT URENS WHOLE	MILK THISTLE
HAMAMELIS MACROPHYLLA PURSH	AMBROSIA ARTEMISIIFOLIA
ALCEA ROSEA L.	FERULA SINKIANGENSIS
CHELIDONIUM MULTIFIDUM WHOLE	SALVIA VERBENACA
DICHORISANDRA INTERMEDIA WHOLE	MAGNOLIA TRIPETALA
HIBISCUS OPULIFOLIUS WHOLE	MORINDA CITRIFOLIA
CAPSELLA GOTLANDICA WHOLE	IPOMOEA PANDURATA
ESCHSCHOLZIA SHASTENSIS WHOLE	PEUMUS BOLDUS
SALIX HOFFMANNIANA WHOLE	HANDROANTHUS HEPTAPHYLLUS
BAUHINIA DIVARICATA [HOC]	COPTIS CHINENSIS
RANUNCULUS ACRIS WHOLE	TRIFOLIUM PRATENSE
TORMINALIS CLUSII WHOLE	MACLURA TINCTORIA
HOWARDIA SCHOMBURGKII WHOLE	CITRUS AURANTIUM
PRUNUS SEROTINA WHOLE	ENTEROLOBIUM CYCLOCARPUM
CECROPIA SURINAMENSIS WHOLE	PRUNUS CORNUTA
HYPOXYLON MILITARE WHOLE	TRIPSACUM DACTYLOIDES
SATUREJA MONTANA L.	ARDISIA CRENATA
MEDULLA JUNCI	ARISTOLOCHIA FIMBRIATA
GLADIOLUS NATALENSIS WHOLE	ACHILLEA MILLEFOLIUM
URENA ACULEATA WHOLE	ALBIZIA JULIBRISSIN
CISSUS VINIFERA WHOLE	LEONURUS CARDIACA
CAPSELLA RUBELLIFORMIS WHOLE	ASCLEPIAS CURASSAVICA
PICEA KUKUNARIA WHOLE	PRUNUS SEROTINA
DRIMIA MARITIMA WHOLE	OXALIS ACETOSELLA
CHICORY WHOLE	SALVIA VERBENACA
SINAPIS NIGRA WHOLE	KNAUTIA ARVENSIS
ACER MONO WHOLE	SALVIA VERBENACA
BIDENS PILOSA [WHO-DD]	ALOYSIA TRIPHYLLA
BLOOD ORANGE WHOLE	ANTHYLLIS VULNERARIA
GREEN TEA	RICINUS COMMUNIS
JACOBAEA MARITIMA (L.) PELSER & MEIJDEN	CAT'S-CLAW
PIPSISSEWA (CHIMAPHILA UMBELLATA) [HOC]	PERSICARIA PUNCTATA
VITIS BOSTURGAIENSIS WHOLE	EUPATORIUM FORTUNEI
IONIDIUM ZIPPELII WHOLE	DIPSACUS FULLONUM
SALIX GONGYLOCARPA WHOLE	AMORPHA FRUTICOSA
ASCYRUM HYPERICOIDES WHOLE	SCHOENOPLECTUS TABERNAEMONTANI
MEUM PIPERITUM WHOLE	HORSETAIL
CITRUS X PARADISI WHOLE	URENA LOBATA
THYMUS VULGARIS L.	ULMUS MINOR
SOLANUM ATRIPLICIFOLIUM WHOLE	PRUNUS CORNUTA
STACHYS BULLATA WHOLE	MIKANIA BANISTERIAE
COMBRETUM WELWITSCHII WHOLE	MAGNOLIA VIRGINIANA
XANTHIUM JAPONICUM WHOLE	CAPSELLA BURSA-PASTORIS
CART-TRACK PLANT WHOLE	VICIA SATIVA
CASTANEA PUMILA WHOLE	OENANTHE AQUATICA
PTELEA TRIFOLIATA [WHO-DD]	ABIES ALBA
GOBO	MENTHA PULEGIUM
PASPALUM NOTATUM FLUGGE	FOMES FOMENTARIUS
COMBRETUM SOMALENSE WHOLE	ALBATRELLUS CONFLUENS
EARPOD TREE WHOLE	TILIA AMERICANA
SMALL-LEAF ANGELICA WHOLE	CAPSELLA BURSA-PASTORIS
GALIUM UNCINATUM WHOLE	NEPETA CATARIA
GOLDENSEAL WHOLE	ECHINACEA ANGUSTIFOLIA
DIOSCOREA ANGUSTIFLORA WHOLE	DAPHNE LAUREOLA
ILEX PARAGUAYENSIS WHOLE	INONOTUS OBLIQUUS
ASCYRUM LINIFOLIUM WHOLE	ALLIUM PORRUM
JACOBAEA MARITIMA WHOLE	SPERMACOCE VERTICILLATA
CERINTHE VERSICOLOR WHOLE	PAPAVER RHOEAS
ERUCA SILVESTRIS WHOLE	PINUS MUGO
TYPHA ENGELMANNII WHOLE	SENNA ALEXANDRINA
ERVATAMIA RECURVA WHOLE	PTERIDIUM AQUILINUM
AMERICAN BUGLEWEED [HOC]	FRAXINUS AMERICANA
PACIFIC WILLOW [HOC]	ANEMONE HEPATICA
CERINTHE MAJOR L.	LONICERA JAPONICA
NORTHERN CATALPA WHOLE	DIPLOTAXIS ERUCOIDES
CHELIDONIUM MAJUS [WHO-DD]	ERICA MULTIFLORA
ARUNDO WHOLE	REYNOUTRIA MULTIFLORA
BIDENS ALAUSENSIS WHOLE	TEUCRIUM BOTRYS
VITIS CEBENNENSIS WHOLE	SCOLYMUS HISPANICUS
ARTHROPHYTUM HALOXYLON WHOLE	QUERCUS LOBATA
SOJA VIRIDIS WHOLE	ACACIA SALIGNA
UNA-DE-GATO WHOLE	BEET ROOT
SMALLFLOWER BLUE EYED MARY WHOLE	ECHINACEA PURPUREA
CHAMAEDRYS LACINIATA WHOLE	TRIPSACUM DACTYLOIDES
ARISTOLOCHIA RUGOSA	INULA HELENIUM
ACHILLEA GRATA WHOLE	BIDENS PILOSA
VILLOUS AMOMUM WHOLE	OXALIS ACETOSELLA
HONEYSUCKLE (LONICERA HYPOGLAUCA) [HOC]	VACCINIUM PALLIDUM
BRASSICA NAPELLA WHOLE	CRATAEGUS MONOGYNA
CURCUMA DOMESTICA VALETON	SMILAX PSEUDOCHINA
RUTA CHALEPENSIS WHOLE	BLUMEA LACERA
TRIBULUS WHOLE	CODONOPSIS PILOSULA
VACCINIUM NITIDUM WHOLE	CENTAURIUM PULCHELLUM
ROSA CINEROSA WHOLE	DIGITARIA INSULARIS
NYCTERINIA LONGIFLORA WHOLE	NUPHAR LUTEA
ATRACTYLODES LYRATA WHOLE	CLINOPODIUM NEPETA
SOLANUM FLORIDANUM WHOLE	CASTILLEJA MINIATA
ESCHSCHOLZIA PSEUDOINFLATA WHOLE	TANACETUM PARTHENIUM
GERMAN CHAMOMILE	ESCHSCHOLZIA CALIFORNICA
ERYTHRAEA ALBIFLORA WHOLE	FOENICULUM VULGARE
COTYLEDON CRENATA WHOLE	TYPHA DOMINGENSIS
FILIX-FOEMINA VULGARIS WHOLE	AESCULUS HIPPOCASTANUM
MAGNOLIA TOMENTOSA WHOLE	APIUM GRAVEOLENS
THAPSIA PRAEALTA WHOLE	ACACIA DEALBATA
CURCUMA ZEDOARIA [WHO-DD]	RHUS COPALLINUM
SISTOTREMA VERSICOLOR WHOLE	GLYCYRRHIZA GLABRA
CRITHMUM PYRENAICUM WHOLE	BIDENS BIPINNATA
BERBERIS BUSSMUL WHOLE	MAGNOLIA GRANDIFLORA
HEDGE-MUSTARD WHOLE	CLEMATIS VILLOSA
THONNINGIA DUBIA WHOLE	GALEGA OFFICINALIS
LEPIDIUM DRABA WHOLE	GYMNEMA SYLVESTRE
SOJA MAX WHOLE	RANUNCULUS ACRIS
STILLINGIA SYLVATICA WHOLE	ARTOCARPUS ALTILIS
BROAD-WHOLE PLANTAIN WHOLE	TULSI
BAUHINIA PENINSULARIS WHOLE	APPLE CIDER VINEGAR
DILATRIS TINCTORIA WHOLE	RED YEAST RICE
MEDICAGO DISTANS WHOLE	KARCURA
FICUS SAUSSUREANA DC.	ELDERBERRY
ASCLEPIAS INCARNATA WHOLE	MILK THISTLE
DIOSPYROS PERSIMON WHOLE	BERBERIS AQUIFOLIUM
MELIA AZEDARACH L.	ERYTHRINA ABYSSINICA
CHARYBDIS MARITIMA WHOLE	PINUS KESIYA
PSEUDOGNAPHALIUM SAXICOLA WHOLE	SALIX TRIANDRA
CELTIS LAEVIGATA	PELTANDRA VIRGINICA
CLEMATOPSIS SAPINII WHOLE	VICIA FABA
TRIBULUS TERRESTRIS [HPUS]	CARYA ILLINOINENSIS
SERENOA REPENS (W.BARTRAM) SMALL	SOLANUM ANGUIVI
BLUE RIDGE BLUEBERRY WHOLE	FOENICULUM VULGARE
MAY TREE WHOLE	ABIES ALBA
TILIA PHANERA WHOLE	CRATAEGUS SONGARICA
SALVIA SUBSCAPOSA WHOLE	ZANTHOXYLUM OVALIFOLIUM
FEUILLEEA CYCLOCARPA WHOLE	DICHORISANDRA HEXANDRA
BIDENS ARENARIA WHOLE	LINARIA VULGARIS
CONNARUS PUNCTULATUS WHOLE	LYCIUM BARBARUM
ROSA ROUGEONENSIS WHOLE	EPIMEDIUM PUBESCENS
LYCIUM (LYCIUM BARBARUM) [HOC]	CENTAURIUM ERYTHRAEA
HOLY THISTLE WHOLE	SISYMBRIUM OFFICINALE
SALIX ARMENA WHOLE	SENNA
OUROUPARIA TOMENTOSA WHOLE	LUDWIGIA PEPLOIDES
BROUSSONETIA XANTHOXYLON WHOLE	RHYNCHOSTYLIS RETUSA
SCHIZACHYRIUM LITTORALE WHOLE	ECHINACEA ANGUSTIFOLIA
LYCHNIS DIVARICATA WHOLE	ERICA MULTIFLORA
GALIUM UNIFLORUM MICHX.	SCUTELLARIA LATERIFLORA
NERIUM OLEANDER WHOLE	JATROPHA CURCAS
FUMARIA OFFICINALIS AUCT. NON L.	ESCHSCHOLZIA CALIFORNICA
ACHILLEA GERBERI WHOLE	CRITHMUM MARITIMUM
HALOXYLON AMMODENDRON (C.A.MEY.) BUNGE EX FENZL	THYMBRA CAPITATA
MAMMEA AMERICANA [WHO-DD]	NYMPHAEA ODORATA
BACCHARIS IVIFOLIA WHOLE	EUPATORIUM CAPILLIFOLIUM
TEUCRIUM HYSSOPIFOLIUM WHOLE	DICHORISANDRA HEXANDRA
IRIS CONVOLUTE WHOLE	MARRUBIUM VULGARE
GREWIA MICROPETALA WHOLE	ECHINACEA ANGUSTIFOLIA
SYMPHYTUM ULIGINOSUM WHOLE	SALVIA OFFICINALIS
COCKLEBURR WHOLE	MELIA AZEDARACH
DIANTHUS CLAVATUS WHOLE	MACLURA TINCTORIA
SWERTIA LEDUCII [HOC]	VITIS VINIFERA
DIPTEROCARPUS CAMPHORUS WHOLE	ROBINIA PSEUDOACACIA
GUARANA	GYMNEMA LATIFOLIUM
BENEDICTA OFFICINALIS WHOLE	AMBROSIA ARTEMISIIFOLIA
CITRUS X HUMILIS WHOLE	KALANCHOE CRENATA
BOLETUS AURANTIUS WHOLE	ARISTOTELIA CHILENSIS
MIMOSA PUDICA	FICUS SUR
LYCOPUS LONGIFOLIUS WHOLE	CAPSELLA BURSA-PASTORIS
PRINOS CANADENSIS WHOLE	LICORICE
CHIRONIA ERYTHRAEA WHOLE	SAURURUS CERNUUS
SWAN RIVER WHALER WHOLE	XANTHIUM STRUMARIUM
ELYTRIGIA VAILLANTIANA WHOLE	VITEX DONIANA
ATRACTYLODES CHINENSIS WHOLE	IMPATIENS PARVIFLORA
SIDA GLANDULOSA WHOLE	ULMUS MINOR
BRASSICA PURPURARIA WHOLE	ALECTRA SESSILIFLORA
